*?dʰwer-	'beschädigen, verletzen'	IEW 277
*dʰwes-	'einatmen, ausatmen, atmen'	IEW 268-71
*ģar-	'tönen, rufen'	IEW 352
*?ģebʰ-	'essen, kauen'	IEW 382
*ģeyH-	'aufbrechen, keimen'	IEW 355-6
*ģelḫ-	'in Lachen ausbrechen'	IEW 366
*ģembʰ-	'schnappen, (zer)beißen'	IEW 369
*ģenħ-	'erzeugen'	IEW 373-5
*ģerḫ-	'aufreiben, alt machen'	IEW 390-1
*?ģewH-	'sich in schnelle Bewegung setzen'	IEW 399
*ģews-	'kosten'	IEW 399-400
*?ģyeH-	'berauben'	IEW 469
*ģyewH-	'kauen'	IEW 400
*ģneḥ-	'erkennen'	IEW 376-8
*?ģrey-	'sich erstrecken'	IEW 401
*?ģ(ʰ)welg(ᵂ)ʰ-	'anblicken'	IEW 490
*ģwelH-	'brennen, flammen'	IEW 479
*ģʰed-	'scheißen'	IEW 423
*?ģʰeH-	'die Körperstellung verändern, sich bewegen'	IEW 418
*ģʰeħ-	'zurücklassen'	IEW 418-9
*ģʰeħy-	'den Mund aufsperren, gähnen'	IEW 419-20
*?ģʰey-	'antreiben'	IEW 424-5
*ģʰeys-	'erschrecken'	IEW 425, 427
*ģʰeysd-	'jmdn. (er)schrecken'	IEW 427
*ģʰengʰ-	'schreiten'	IEW 438-9
*ģʰer-	'Gefallen finden, begehren'	IEW 440-1
*ģʰer-	'nehmen, holen'	IEW 442
*ģʰer-	'strahlen, scheinen; sehen'	IEW 441-2
*?ģʰeRH-	'zürnen'	IEW –
*ģʰers-	'sich sträuben, erstarren'	IEW 445-6
*ģʰew-	'gießen'	IEW 447-8
*?ģʰewd-	'gießen'	IEW 448
*?ģʰnew-	'sich schämen'	IEW –
*?ģʰreyH-	'den Mund verziehen, verlegen sein'	IEW –
*ģʰweH-	'rufen'	IEW 413
*ģʰwen-	'tönen'	IEW 490-1
*ģʰwer-	'krumm gehen'	IEW 489
*g(ᵂ)eģʰ-	'(ins Wasser) eindringen, hineinwaten'	IEW 465
*g(ᵂ)eH(y)-	'singen'	IEW 355
*(ģ)eḫdʰ-	'in Freude geraten'	IEW 353
*(ģ)eḫw-	'sich freuen'	IEW 353
*(ģ)eys-	'sich drehen, sich wenden'	IEW 355
*(ģ)el-	'frieren, kalt sein'	IEW 365-6
*g(ᵂ)eldʰ-	'gierig werden, hungrig werden'	IEW 434
*gelH-	'Macht bekommen über'	IEW 351
*gem-	'drücken, zusammenpressen; fassen'	IEW 368-9
*gerbʰ-	'einritzen, einkerben'	IEW 392, 478
*g(ᵂ)erdʰ-	'hören; tönen'	IEW 478
*?g(ᵂ)eRģʰ-	'klagen'	IEW 350-1
*?g(ᵂ)ew-	'vermehren'	IEW 403-4
*?g(ᵂ)ewbʰ-	'biegen'	IEW 450
*?g(ᵂ)ewH-	'erlangen'	IEW 403-4
*gewḫ-	'rufen'	IEW 403
*?gleybʰ-	'kleben bleiben'	IEW 363
*gleyH-	'bestreichen; kleben bleiben'	IEW 362-3
*(ģ)lewbʰ-	'ausschneiden, spalten'	IEW 401-2
*?gnet-	'drücken, kneten'	IEW 371
*?grenģʰ-	'drehen'	IEW 386
